id,original_title,GenList,vote_average,For Genre,vote_count,Scores
9023,Spirit: Stallion of the Cimarron,"['Western', 'Animation', 'Adventure', 'Comedy', 'Family']",7.4,Animation,870.0,6.8069676956933325
37135,Tarzan,"['Adventure', 'Animation', 'Drama', 'Family']",7.1,Animation,1715.0,6.800737959601723
9502,Kung Fu Panda,"['Adventure', 'Animation', 'Family', 'Comedy']",6.9,Animation,3231.0,6.748208970036591
11544,Lilo & Stitch,"['Animation', 'Family']",7.1,Animation,1371.0,6.743704085974573
11621,紅の豚,"['Comedy', 'Animation', 'Adventure']",7.6,Animation,563.0,6.737297768489572
10112,The Aristocats,"['Animation', 'Comedy', 'Family', 'Adventure']",7.1,Animation,1287.0,6.72631369853812
51739,借りぐらしのアリエッティ,"['Fantasy', 'Animation', 'Family']",7.4,Animation,701.0,6.718665969325203
9016,Treasure Planet,"['Adventure', 'Animation', 'Family', 'Fantasy', 'Science Fiction']",7.2,Animation,980.0,6.714487889097669
14069,時をかける少女,"['Fantasy', 'Animation', 'Drama', 'Science Fiction']",7.8,Animation,435.0,6.710340477772272
35,The Simpsons Movie,"['Animation', 'Comedy', 'Family']",6.9,Animation,2335.0,6.699092045931422
12092,Alice in Wonderland,"['Animation', 'Adventure', 'Family', 'Fantasy']",7.0,Animation,1557.0,6.698787481257712
228326,The Book of Life,"['Romance', 'Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",7.3,Animation,778.0,6.697760623089195
127380,Finding Dory,"['Adventure', 'Animation', 'Comedy', 'Family']",6.8,Animation,4333.0,6.692403162404888
2011,Persepolis,"['Animation', 'Drama']",7.7,Animation,461.0,6.690487011378887
10693,Peter Pan,"['Animation', 'Music', 'Family', 'Adventure', 'Fantasy']",7.0,Animation,1380.0,6.669396844092671
408,Snow White and the Seven Dwarfs,"['Fantasy', 'Animation', 'Family']",6.9,Animation,1973.0,6.668876558032449
756,Fantasia,"['Animation', 'Family', 'Music']",7.2,Animation,831.0,6.657301087102058
40662,Batman: Under the Red Hood,"['Action', 'Animation']",7.6,Animation,459.0,6.636826288000116
76492,Hotel Transylvania,"['Animation', 'Comedy', 'Family', 'Fantasy']",6.8,Animation,2622.0,6.632161608371762
9473,"South Park: Bigger, Longer & Uncut","['Animation', 'Comedy', 'Music']",7.1,Animation,916.0,6.62361916680304
11886,Robin Hood,"['Animation', 'Family']",7.0,Animation,1155.0,6.622583936553873
49519,The Croods,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",6.8,Animation,2447.0,6.621966634912914
9487,A Bug's Life,"['Adventure', 'Animation', 'Comedy', 'Family']",6.8,Animation,2379.0,6.617662948874548
335797,Sing,"['Animation', 'Comedy', 'Drama', 'Family', 'Music']",6.8,Animation,2363.0,6.616619905321453
62177,Brave,"['Animation', 'Adventure', 'Comedy', 'Family', 'Action', 'Fantasy']",6.7,Animation,4760.0,6.60960451967349
10895,Pinocchio,"['Animation', 'Family']",6.9,Animation,1412.0,6.598638068897132
10009,Brother Bear,"['Adventure', 'Animation', 'Family']",6.9,Animation,1410.0,6.598311212138886
10340,Lady and the Tramp,"['Family', 'Animation']",6.9,Animation,1241.0,6.567872164289017
809,Shrek 2,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",6.7,Animation,3082.0,6.56646355949491
11224,Cinderella,"['Family', 'Fantasy', 'Animation', 'Romance']",6.8,Animation,1760.0,6.56621963317416
